otu	A1	A2	A3	A4	B1	B2	B3	B4	C1	C2	C3	C4	D1	D2	D3	D4	E1	E2	E3	E4	F1	F2	F3	F4	G1	G2	G3	G4	H1	H2	H3	H4
Otu1110	0	400	0	0	0	0	0	0	245	54	1	700	302	197	36	86	127	150	27	53	0	55	13	185	779	84	242	48	34	88	21	476
Otu3740	0	39	0	560	26	576	68	0	581	191	53	158	111	119	139	17	76	329	62	129	28	59	16	312	11	32	19	343	59	31	134	24
Otu37189	122	0	0	0	8	345	228	0	616	134	394	37	15	7	25	10	237	292	109	261	1	19	25	25	26	130	203	198	107	356	109	68
Otu3355	120	4	0	0	0	0	0	0	61	40	105	40	143	0	72	53	135	103	247	41	40	101	129	0	78	498	236	484	385	401	173	222
Otu14365	0	0	0	0	0	0	0	0	0	1371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1816	259	0	0	446	0
Otu17971	17	9	13	3270	0	0	0	0	0	6	88	5	2	5	5	4	18	31	5	59	11	17	21	81	2	1	2	18	17	44	35	0
Otu14383	97	73	0	27	0	0	0	0	0	74	246	28	65	67	115	10	13	83	223	94	34	69	72	584	23	161	50	911	181	31	201	106
Otu15	0	0	0	0	0	0	2	0	0	0	7	0	1	0	1	1977	0	0	0	0	0	1465	0	0	0	0	0	0	0	0	5	0
Otu2710	0	81	0	20	0	35	0	0	21	0	137	17	105	228	503	129	65	0	13	45	208	52	159	7	669	83	122	96	116	89	240	91
Otu22319	90	185	0	0	0	0	381	0	24	8	43	24	70	18	190	48	79	148	476	67	553	52	131	45	18	39	61	40	164	79	92	190
Otu2711	73	3	15	0	0	0	153	0	213	35	75	38	298	38	279	30	37	290	62	41	84	99	198	109	92	54	36	481	50	12	350	21
Otu50640	0	60	0	981	0	61	1	1	62	15	23	92	240	56	77	85	12	30	53	50	76	25	38	521	83	26	325	97	48	39	58	24
Otu2962	107	0	0	0	0	66	0	0	0	64	171	110	74	136	439	5	496	219	1	8	92	0	55	8	190	181	262	100	126	171	169	0
Otu10152	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	665	0	0	2501	0	0	0	1
Otu5071	26	7	17	0	0	0	0	0	29	65	104	31	112	30	72	60	81	89	8	18	63	200	314	237	42	36	35	1319	21	35	107	12
Otu6786	0	11	0	0	0	0	0	0	0	76	100	21	13	12	21	46	73	72	140	98	203	4	68	0	50	9	759	41	119	376	630	127
Otu17987	0	45	1059	0	217	0	0	0	0	0	0	1549	0	0	0	12	0	0	38	44	0	0	1	1	0	0	0	7	0	22	33	19
Otu42	0	6	9	0	0	19	0	0	131	65	42	12	38	8	118	21	44	269	20	34	39	15	53	13	244	88	433	831	208	81	144	3
Otu7789	0	7	47	0	37	0	0	1	74	38	72	63	35	15	58	20	88	296	53	67	29	11	12	14	63	17	114	150	59	136	1395	17
Otu17962	0	5	0	0	0	0	0	0	22	43	476	8	10	8	14	2	164	185	29	95	3	52	41	139	12	15	79	380	297	298	531	34
Otu22299	33	70	48	450	41	381	0	0	16	7	104	61	29	30	185	67	52	51	109	91	96	37	164	203	14	14	147	106	39	24	81	174
Otu40	0	0	0	5	0	0	0	0	0	0	0	1	4	0	1947	1	18	0	0	0	0	0	730	0	0	0	0	0	7	92	0	0
Otu8813	85	0	0	2135	24	208	208	0	32	0	1	11	1	0	0	9	4	0	4	10	20	3	0	3	16	2	0	0	5	2	8	0
Otu2392	55	24	0	22	0	0	1	0	12	94	112	46	340	141	251	490	87	102	6	40	42	9	34	55	71	20	270	228	79	12	114	32
Otu27052	91	46	0	0	0	0	0	0	0	11	50	75	202	189	430	183	4	79	32	239	33	38	270	253	20	15	60	56	91	97	130	43
Otu17950	0	294	0	0	173	1	289	0	0	2	0	119	277	327	230	73	0	36	0	92	29	37	211	39	42	0	245	0	125	2	87	0
Otu17957	15	20	0	86	0	0	0	0	10	32	145	26	40	53	79	45	63	57	20	107	3	110	89	396	83	46	117	165	325	154	259	19
Otu4341	0	14	135	0	0	0	0	0	107	29	24	10	2	9	4	3	19	62	3	28	0	5	0	2	152	307	289	540	510	69	148	42
Otu46370	63	9	9	56	13	8	18	2	125	156	313	178	404	177	195	21	11	7	88	145	0	53	33	86	70	27	36	13	37	32	28	21
Otu80929	0	159	0	0	0	52	388	0	0	0	8	71	32	634	16	150	22	17	29	21	11	10	45	22	13	53	46	282	15	29	97	36
Otu2963	0	32	0	307	0	4	0	0	0	11	5	7	127	91	19	4	5	28	8	31	0	31	93	32	49	289	42	663	52	27	281	7
Otu14374	59	219	124	10	0	120	1	0	0	29	30	87	171	68	136	178	14	85	44	96	56	16	64	21	57	24	141	53	17	86	153	67
Otu17948	0	0	0	2194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu98528	0	47	0	0	0	0	0	0	7	4	7	140	64	24	91	153	19	169	266	73	100	34	40	31	15	20	110	433	25	52	167	23
Otu1962	0	11	63	1845	0	0	0	0	2	6	0	7	23	11	28	7	2	0	0	1	0	0	0	0	23	3	12	28	4	1	4	0
Otu5081	0	12	68	1105	0	0	0	97	3	4	29	11	65	54	4	13	9	19	9	22	23	70	227	38	14	22	8	52	22	1	24	11
Otu10055	54	83	0	951	0	0	0	0	7	19	8	65	47	34	32	30	25	163	83	47	0	3	26	35	0	0	23	51	13	11	100	113
Otu2708	0	0	0	0	0	0	0	0	0	0	0	0	1	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1791	0	0
Otu84	18	34	0	0	0	0	0	0	86	22	224	4	67	12	171	8	15	73	6	6	45	9	47	12	76	29	365	368	112	62	90	4
Otu10061	35	85	0	548	8	104	7	0	32	40	43	34	162	90	101	44	27	45	51	28	64	22	26	51	78	10	29	57	42	30	34	12
Otu32056	0	1	0	0	37	1	267	0	2	10	167	108	4	16	72	7	3	20	285	230	1	12	96	7	0	0	3	77	63	2	202	227
Otu61071	0	0	0	0	0	0	0	0	0	0	0	0	1835	0	0	1	0	0	40	0	0	0	0	0	0	0	0	0	0	10	28	0
Otu3131	0	0	0	0	0	0	0	1	80	187	98	3	10	1	10	0	17	410	11	118	16	8	39	12	4	35	62	90	26	141	373	46
Otu102548	0	37	0	0	0	0	1	0	12	5	14	2	10	25	35	257	37	0	3	38	1	1157	3	7	11	5	19	21	27	5	21	31
Otu8845	0	4	819	682	0	0	0	0	0	0	0	0	2	212	40	0	0	1	0	0	0	0	0	15	0	0	0	0	0	0	1	0
Otu54611	168	162	0	183	0	0	0	0	0	31	16	58	34	16	84	133	36	22	29	189	211	9	15	52	6	14	121	54	9	15	0	87
Otu2820	0	0	0	0	44	0	0	0	28	49	626	28	5	0	1	4	66	53	14	28	0	4	6	8	91	14	334	87	17	52	72	42
Otu39	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	1657
Otu22298	0	8	0	0	0	65	36	0	0	15	124	0	2	0	4	3	30	85	13	38	11	138	99	138	3	11	20	39	74	439	222	16
Otu46371	20	17	74	209	0	0	0	0	4	43	118	18	57	58	40	18	25	28	8	95	7	42	63	220	38	22	11	171	87	37	56	12
Otu57964	256	345	16	53	0	0	0	0	5	6	26	3	520	30	75	54	6	13	10	4	2	12	17	8	2	21	0	38	10	37	25	3
Otu6097	0	0	0	0	0	0	0	0	1	0	0	2	5	2	0	0	0	0	0	0	0	0	7	0	0	2	0	0	1	1556	2	0
Otu41	0	62	0	486	0	106	0	0	25	2	1	96	6	30	217	5	7	55	64	0	106	25	3	6	17	19	2	0	40	16	25	128
Otu76029	0	11	0	1533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu11917	274	68	44	1043	7	19	0	0	2	0	4	9	4	0	0	5	10	4	4	9	2	0	0	6	2	1	0	10	0	0	13	0
Otu133653	0	4	0	0	12	0	0	0	6	2	0	15	118	50	18	13	0	56	0	26	0	0	2	0	13	317	16	1	289	19	361	192
Otu27050	71	68	133	55	0	0	247	0	23	15	10	61	40	14	36	56	0	77	14	41	41	3	28	10	36	15	94	67	11	15	140	74
Otu1236	0	0	0	0	0	0	0	0	0	2	151	0	1	1	0	0	231	64	8	773	0	0	1	26	0	13	78	0	31	11	32	47
Otu14416	31	5	0	0	0	0	0	0	4	17	8	971	6	22	0	59	6	6	0	2	2	1	0	0	42	1	106	39	9	76	1	53
Otu93333	0	106	0	0	0	0	0	0	23	1	5	128	22	40	44	6	15	30	3	25	29	13	10	6	26	20	0	12	20	8	870	1
Otu64346	0	18	0	62	9	0	0	0	6	15	40	34	28	15	21	60	41	164	49	22	38	25	71	22	45	123	54	285	87	29	67	28
Otu5862	63	41	9	122	15	0	43	0	12	4	67	27	14	13	55	43	33	45	24	54	62	8	46	118	38	25	76	52	38	54	131	116
Otu4346	0	5	0	0	0	0	0	0	18	24	29	18	28	25	167	35	45	18	16	11	14	25	178	10	73	11	299	92	65	19	194	5
Otu6785	892	11	190	17	0	0	0	0	1	10	4	2	4	6	24	14	0	82	42	14	0	4	15	7	0	2	9	53	8	6	6	1
Otu78616	3	65	94	0	27	0	0	169	2	16	22	31	48	10	55	25	52	47	59	67	43	34	30	149	2	19	13	147	123	21	36	15
Otu1963	0	2	0	0	0	0	0	0	227	70	172	15	19	2	9	3	75	93	23	28	0	26	12	26	113	74	70	70	47	71	169	6
Otu3173	0	11	0	0	26	0	0	0	138	10	213	0	9	5	60	11	62	24	9	15	0	0	32	274	68	83	69	99	79	38	68	0
Otu7796	8	6	31	0	0	0	0	0	53	50	25	242	81	27	65	49	187	90	84	0	0	3	11	0	2	3	72	18	111	9	121	46
Otu5859	0	76	235	0	3	1	0	0	2	3	5	28	382	432	18	7	8	2	4	3	3	7	0	5	14	4	3	118	13	0	6	7
Otu14394	70	6	455	116	0	0	35	303	21	14	14	24	5	3	6	1	6	15	8	32	20	0	3	4	25	24	52	8	5	16	49	47
Otu46397	0	0	0	1132	9	0	0	0	48	17	39	0	0	0	0	0	52	0	0	4	0	4	0	0	0	4	0	1	0	22	3	0
Otu22316	36	97	35	63	0	0	0	0	0	18	14	112	64	19	77	117	12	9	38	76	38	6	54	10	10	24	84	55	9	19	133	76
Otu3365	1	23	0	539	109	96	17	0	0	38	71	14	11	7	15	5	53	27	25	18	47	5	22	23	6	10	5	27	1	21	37	11
Otu3363	92	4	27	0	0	64	0	0	13	6	16	14	27	17	18	15	15	27	14	61	22	22	25	61	36	28	24	449	48	34	74	30
Otu18003	10	111	0	0	0	0	116	0	0	17	0	4	405	75	244	8	0	0	9	17	0	82	2	49	4	0	6	30	0	73	0	3
Otu188	46	4	0	0	9	0	0	0	32	32	83	4	15	1	15	6	93	105	7	18	13	4	6	0	81	99	59	102	51	157	202	15
Otu3827	0	0	0	0	0	0	0	0	0	1	1	0	0	0	386	0	0	0	0	1	0	0	515	2	0	0	300	0	0	2	1	0
Otu8821	3	0	120	7	0	0	0	0	1	56	16	4	11	12	165	7	0	21	0	14	1	1	203	11	0	20	74	392	0	4	55	0
Otu17954	0	22	0	0	295	0	0	328	0	0	0	0	17	4	0	0	1	0	0	8	497	0	0	0	0	10	3	0	0	10	0	0
Otu22309	0	43	0	0	0	0	0	0	5	12	20	14	19	10	12	7	24	93	23	62	95	49	100	41	18	27	46	87	94	38	88	76
Otu27116	1	1	0	0	0	42	0	0	2	17	151	1	0	16	10	5	24	74	14	69	0	67	68	112	6	1	4	137	45	44	153	26
Otu2818	0	0	0	0	13	0	0	0	92	14	73	33	19	11	36	26	10	106	41	9	0	8	15	16	15	106	54	114	64	69	141	1
Otu80930	0	30	0	0	0	0	0	0	29	23	48	38	42	16	60	9	39	21	31	55	20	87	40	22	34	25	27	96	207	44	12	4
Otu11950	43	0	0	0	0	0	0	0	1	24	0	55	59	0	0	1	48	0	0	391	0	0	14	0	1	0	2	6	216	186	3	2
Otu67537	0	0	0	0	0	0	0	0	0	0	40	0	3	7	4	0	0	11	8	33	1	8	24	6	2	6	6	499	123	157	85	6
Otu134023	109	30	0	272	0	11	0	0	0	0	214	0	0	12	8	2	18	2	276	0	0	8	20	11	0	4	10	15	0	0	0	2
Otu46373	133	75	0	252	18	0	0	0	53	12	83	4	37	14	10	27	72	12	0	7	0	11	35	13	38	12	0	43	13	39	5	4
Otu17952	0	1	0	0	0	0	995	0	0	0	2	3	0	0	0	6	0	0	0	0	0	0	0	0	0	0	8	3	0	0	0	3
Otu9844	0	1	0	0	0	0	36	0	0	0	53	0	1	0	0	49	0	0	112	198	0	0	102	5	0	0	131	95	0	2	219	2
Otu3132	0	13	0	0	0	0	0	0	0	1	74	11	1	33	160	60	0	1	0	27	0	11	55	82	6	0	64	214	65	1	116	5
Otu7847	37	0	51	0	0	0	0	0	0	20	0	90	117	86	0	0	2	116	0	0	0	38	0	52	0	123	0	0	161	102	0	0
Otu14370	47	27	0	187	125	274	37	0	10	12	2	8	15	1	1	52	3	3	17	56	31	2	0	0	34	10	1	1	10	18	2	2
Otu80931	0	22	0	27	308	0	0	0	21	295	30	1	4	2	3	1	69	16	0	0	16	3	0	2	17	13	4	2	83	42	3	0
Otu14379	55	4	0	0	0	0	0	0	0	3	48	92	16	7	0	22	15	0	10	57	26	0	0	0	82	8	32	247	1	206	32	12
